"Median Household Income by Massachusetts Town, 1979-2015",,,,,,,,
,,,,,,,,
Sources:,1980 Census Summary Tape File 3 (STF3),,,,,,,
,1990 Census Summary Tape File 3 (STF3),,,,,,,
,2000 Census Summary File 3 (SF3),,,,,,,
,2010 American Community Survey (ACS) 5-Year Summary File,,,,,,,
,2015 American Community Survey (ACS) 5-Year Summary File,,,,,,,
,,,,,,,,
Notes:,"Household income from the 1980-2000 decennial Census refers to income the previous year (1979, 1989 and 1999). Household income from the American Community Survey refers to income earned during the 12 months prior to completing the questionnaire.",,,,,,,
,,,,,,,,
,,,,,,,,
,"Incomes were adjusted for inflation using the annual average consumer price index for all urban consumers compiled by the U.S. Department of Labor, Bureau of Labor Statistics: 1979=72.6, 1989=124.0, 1999=166.6, 2010=218.1 and 2015=237.0, where the 1982-84 average=100.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,Median Income (adjusted to 2015 Dollars),,,,
Town#,Town,,,1979,1989,1999,2006-10,2011-15
51,Carlisle,,,"$124,862 ","$160,520 ","$184,665 ","$168,432 ","$166,111 "
52,Carver,,,"$60,265 ","$73,925 ","$76,116 ","$77,274 ","$74,375 "
53,Charlemont,,,"$46,088 ","$55,292 ","$66,218 ","$64,181 ","$53,750 "
54,Charlton,,,"$58,989 ","$81,155 ","$89,669 ","$95,363 ","$87,294 "
55,Chatham,,,"$50,407 ","$59,852 ","$64,754 ","$71,709 ","$67,587 "
56,Chelmsford,,,"$85,686 ","$103,154 ","$99,874 ","$100,570 ","$95,290 "
57,Chelsea,,,"$36,565 ","$48,057 ","$42,906 ","$43,996 ","$47,733 "
58,Cheshire,,,"$55,369 ","$70,341 ","$59,721 ","$62,395 ","$55,063 "
59,Chester,,,"$51,915 ","$68,090 ","$62,331 ","$59,992 ","$67,738 "
60,Chesterfield,,,"$50,717 ","$69,009 ","$69,796 ","$63,841 ","$64,167 "
61,Chicopee,,,"$50,442 ","$55,246 ","$50,746 ","$48,059 ","$47,684 "
62,Chilmark,,,"$51,686 ","$65,701 ","$59,630 ","$79,236 ","$78,333 "
63,Clarksburg,,,"$53,769 ","$61,953 ","$61,685 ","$56,565 ","$56,625 "
64,Clinton,,,"$50,119 ","$65,158 ","$63,646 ","$63,924 ","$62,805 "
65,Cohasset,,,"$89,910 ","$120,283 ","$119,718 ","$124,111 ","$113,843 "
66,Colrain,,,"$54,011 ","$57,516 ","$57,011 ","$63,690 ","$50,458 "
67,Concord,,,"$100,320 ","$133,632 ","$136,420 ","$130,245 ","$134,036 "
68,Conway,,,"$60,954 ","$78,344 ","$79,798 ","$85,095 ","$76,667 "
69,Cummington,,,"$40,675 ","$58,755 ","$60,104 ","$65,199 ","$50,565 "
70,Dalton,,,"$66,693 ","$69,797 ","$68,128 ","$62,181 ","$47,013 "
71,Danvers,,,"$71,502 ","$83,636 ","$83,617 ","$81,836 ","$77,949 "
72,Dartmouth,,,"$58,205 ","$67,159 ","$72,184 ","$76,074 ","$68,265 "
73,Dedham,,,"$72,918 ","$87,321 ","$87,771 ","$87,873 ","$83,438 "
74,Deerfield,,,"$60,993 ","$68,814 ","$70,793 ","$67,277 ","$74,853 "
75,Dennis,,,"$45,520 ","$53,325 ","$59,176 ","$55,031 ","$53,381 "
76,Dighton,,,"$63,876 ","$78,013 ","$83,363 ","$90,867 ","$78,931 "
77,Douglas,,,"$54,872 ","$73,321 ","$86,107 ","$93,685 ","$85,313 "
78,Dover,,,"$133,304 ","$174,646 ","$201,746 ","$178,845 ","$185,542 "
79,Dracut,,,"$69,086 ","$86,323 ","$82,048 ","$76,971 ","$77,848 "
80,Dudley,,,"$57,996 ","$65,250 ","$69,140 ","$70,396 ","$66,339 "
81,Dunstable,,,"$78,579 ","$119,484 ","$123,241 ","$123,438 ","$118,523 "
82,Duxbury,,,"$92,894 ","$122,089 ","$138,166 ","$124,493 ","$120,267 "
83,East Bridgewater,,,"$65,404 ","$81,448 ","$85,797 ","$85,294 ","$84,118 "
84,East Brookfield,,,"$54,925 ","$73,061 ","$73,774 ","$78,200 ","$72,375 "
85,East Longmeadow,,,"$71,218 ","$79,074 ","$89,167 ","$84,711 ","$81,655 "
86,Eastham,,,"$50,247 ","$59,898 ","$60,627 ","$63,841 ","$60,760 "
87,Easthampton,,,"$55,969 ","$64,474 ","$64,279 ","$59,393 ","$56,527 "
88,Easton,,,"$77,185 ","$96,801 ","$98,362 ","$93,507 ","$96,059 "
89,Edgartown,,,"$49,976 ","$69,351 ","$71,707 ","$73,485 ","$60,714 "
90,Egremont,,,"$54,069 ","$60,085 ","$71,128 ","$56,350 ","$64,044 "
91,Erving,,,"$54,311 ","$58,235 ","$56,958 ","$55,917 ","$60,769 "
92,Essex,,,"$55,248 ","$88,500 ","$84,720 ","$83,661 ","$92,396 "
93,Everett,,,"$50,857 ","$58,841 ","$57,843 ","$54,047 ","$50,762 "
94,Fairhaven,,,"$49,584 ","$57,524 ","$59,315 ","$58,836 ","$61,274 "
95,Fall River,,,"$37,561 ","$42,912 ","$41,274 ","$37,203 ","$35,213 "
96,Falmouth,,,"$54,099 ","$64,877 ","$68,555 ","$67,799 ","$66,670 "
97,Fitchburg,,,"$46,156 ","$51,798 ","$52,641 ","$51,094 ","$48,724 "
98,Florida,,,"$43,679 ","$56,972 ","$61,170 ","$57,955 ","$53,438 "
99,Foxborough,,,"$71,534 ","$86,782 ","$91,504 ","$101,491 ","$88,766 "
100,Framingham,,,"$68,740 ","$82,086 ","$77,228 ","$69,612 ","$68,219 "
101,Franklin,,,"$68,488 ","$96,862 ","$101,250 ","$97,071 ","$108,272 "
102,Freetown,,,"$66,060 ","$86,958 ","$91,864 ","$89,441 ","$87,921 "
103,Gardner,,,"$48,291 ","$53,583 ","$53,110 ","$52,521 ","$43,905 "
104,Gay Head,,,"$21,643 ","$34,881 ","$64,312 ","$62,483 ","$64,688 "
105,Georgetown,,,"$69,406 ","$85,742 ","$108,485 ","$110,703 ","$107,683 "
106,Gill,,,"$54,409 ","$67,004 ","$72,195 ","$63,555 ","$73,750 "
107,Gloucester,,,"$51,063 ","$62,480 ","$67,888 ","$65,749 ","$61,505 "
108,Goshen,,,"$56,756 ","$75,599 ","$70,535 ","$76,745 ","$71,118 "
109,Gosnold,,,"$42,846 ","$72,868 ","$31,786 ","$50,258 ","$32,292 "
110,Grafton,,,"$70,437 ","$80,867 ","$79,692 ","$99,693 ","$88,712 "
111,Granby,,,"$66,615 ","$78,892 ","$77,236 ","$72,508 ","$86,910 "
112,Granville,,,"$57,128 ","$79,492 ","$75,607 ","$75,115 ","$79,464 "
113,Great Barrington,,,"$49,577 ","$61,821 ","$64,713 ","$57,422 ","$55,588 "
114,Greenfield,,,"$47,008 ","$50,993 ","$47,101 ","$49,183 ","$49,612 "
115,Groton,,,"$73,421 ","$105,444 ","$117,887 ","$134,586 ","$116,642 "
116,Groveland,,,"$73,695 ","$92,413 ","$98,395 ","$91,531 ","$95,208 "
117,Hadley,,,"$68,214 ","$70,458 ","$73,762 ","$75,969 ","$65,625 "
118,Halifax,,,"$58,937 ","$71,094 ","$81,108 ","$88,948 ","$64,013 "
119,Hamilton,,,"$85,278 ","$93,972 ","$102,425 ","$108,375 ","$109,500 "
120,Hampden,,,"$76,953 ","$89,139 ","$93,409 ","$85,704 ","$81,018 "
121,Hancock,,,"$49,421 ","$62,415 ","$64,509 ","$80,635 ","$74,554 "
122,Hanover,,,"$85,881 ","$104,660 ","$105,040 ","$108,919 ","$101,823 "
123,Hanson,,,"$65,730 ","$86,992 ","$89,177 ","$89,067 ","$91,384 "
124,Hardwick,,,"$47,668 ","$57,604 ","$65,071 ","$62,881 ","$56,278 "
125,Harvard,,,"$66,739 ","$90,402 ","$153,544 ","$153,516 ","$126,061 "
126,Harwich,,,"$48,089 ","$54,011 ","$59,111 ","$59,721 ","$68,267 "
127,Hatfield,,,"$55,542 ","$74,280 ","$71,467 ","$58,613 ","$65,451 "
128,Haverhill,,,"$49,111 ","$70,613 ","$70,891 ","$67,325 ","$60,888 "
129,Hawley,,,"$52,173 ","$55,189 ","$54,235 ","$70,973 ","$68,750 "
130,Heath,,,"$48,027 ","$57,681 ","$71,891 ","$74,844 ","$51,625 "
131,Hingham,,,"$88,800 ","$115,201 ","$118,099 ","$107,460 ","$116,187 "
132,Hinsdale,,,"$51,925 ","$64,437 ","$60,459 ","$66,032 ","$63,555 "
133,Holbrook,,,"$69,860 ","$72,199 ","$77,415 ","$68,050 ","$66,370 "
134,Holden,,,"$78,553 ","$93,927 ","$91,467 ","$96,066 ","$98,630 "
135,Holland,,,"$58,408 ","$70,605 ","$74,077 ","$73,454 ","$75,000 "
136,Holliston,,,"$84,295 ","$110,889 ","$111,091 ","$112,578 ","$108,869 "
137,Holyoke,,,"$40,313 ","$43,688 ","$43,304 ","$34,717 ","$36,608 "
138,Hopedale,,,"$62,831 ","$85,934 ","$85,605 ","$105,652 ","$95,268 "
139,Hopkinton,,,"$75,935 ","$103,890 ","$127,008 ","$130,660 ","$138,551 "
140,Hubbardston,,,"$64,059 ","$81,517 ","$87,434 ","$89,587 ","$81,757 "
141,Hudson,,,"$71,593 ","$86,373 ","$83,290 ","$81,481 ","$75,985 "
142,Hull,,,"$56,054 ","$72,023 ","$74,510 ","$78,420 ","$74,391 "
143,Huntington,,,"$53,103 ","$63,910 ","$69,646 ","$67,277 ","$62,976 "
144,Ipswich,,,"$67,379 ","$81,012 ","$81,490 ","$87,819 ","$76,458 "
145,Kingston,,,"$63,859 ","$78,118 ","$76,506 ","$84,385 ","$85,384 "
146,Lakeville,,,"$60,934 ","$85,742 ","$100,284 ","$100,008 ","$90,876 "
147,Lancaster,,,"$68,149 ","$79,418 ","$86,424 ","$87,952 ","$96,813 "
148,Lanesborough,,,"$54,690 ","$69,626 ","$66,144 ","$72,217 ","$68,036 "
149,Lawrence,,,"$39,108 ","$42,398 ","$39,808 ","$34,372 ","$34,852 "
150,Lee,,,"$63,285 ","$64,244 ","$59,116 ","$54,984 ","$58,790 "
151,Leicester,,,"$65,838 ","$77,065 ","$78,297 ","$76,459 ","$69,099 "
152,Lenox,,,"$61,036 ","$65,940 ","$64,842 ","$65,856 ","$49,634 "
153,Leominster,,,"$54,017 ","$68,757 ","$63,863 ","$60,521 ","$58,955 "
154,Leverett,,,"$68,283 ","$87,705 ","$89,911 ","$75,742 ","$83,333 "
155,Lexington,,,"$102,755 ","$128,800 ","$137,740 ","$141,958 ","$149,306 "
156,Leyden,,,"$64,780 ","$61,926 ","$71,676 ","$80,990 ","$76,250 "
157,Lincoln,,,"$99,027 ","$109,922 ","$112,387 ","$131,599 ","$128,934 "
158,Littleton,,,"$76,336 ","$98,288 ","$101,549 ","$112,595 ","$111,680 "
159,Longmeadow,,,"$105,805 ","$120,799 ","$107,348 ","$100,909 ","$111,081 "
160,Lowell,,,"$47,057 ","$56,098 ","$55,753 ","$54,542 ","$48,002 "
161,Ludlow,,,"$64,920 ","$69,279 ","$66,864 ","$66,295 ","$63,548 "
162,Lunenburg,,,"$68,136 ","$82,566 ","$80,820 ","$94,070 ","$80,572 "
163,Lynn,,,"$46,904 ","$54,573 ","$53,153 ","$46,944 ","$47,429 "
164,Lynnfield,,,"$101,554 ","$111,927 ","$114,696 ","$95,180 ","$118,828 "
165,Malden,,,"$52,029 ","$65,641 ","$64,946 ","$61,230 ","$54,896 "
166,Manchester,,,"$86,903 ","$100,928 ","$104,512 ","$114,099 ","$95,243 "
167,Mansfield,,,"$68,364 ","$89,984 ","$95,205 ","$102,721 ","$93,019 "
168,Marblehead,,,"$78,288 ","$101,935 ","$105,225 ","$105,511 ","$102,993 "
169,Marion,,,"$64,271 ","$88,281 ","$87,132 ","$109,759 ","$76,503 "
170,Marlborough,,,"$62,720 ","$78,965 ","$80,914 ","$77,823 ","$71,790 "
171,Marshfield,,,"$70,010 ","$93,626 ","$94,612 ","$93,981 ","$84,167 "
172,Mashpee,,,"$52,816 ","$62,163 ","$72,368 ","$68,074 ","$70,313 "
173,Mattapoisett,,,"$68,626 ","$77,344 ","$83,172 ","$81,366 ","$86,659 "
174,Maynard,,,"$65,547 ","$82,669 ","$86,509 ","$82,148 ","$88,333 "
175,Medfield,,,"$102,380 ","$126,306 ","$139,053 ","$136,971 ","$138,036 "
176,Medford,,,"$59,629 ","$74,271 ","$74,651 ","$76,177 ","$76,445 "
177,Medway,,,"$75,732 ","$104,848 ","$106,885 ","$110,841 ","$110,241 "
178,Melrose,,,"$69,014 ","$84,305 ","$89,353 ","$89,630 ","$85,521 "
179,Mendon,,,"$64,630 ","$106,868 ","$101,236 ","$111,518 ","$108,942 "
180,Merrimac,,,"$59,498 ","$78,814 ","$83,493 ","$82,061 ","$73,986 "
181,Methuen,,,"$61,849 ","$72,058 ","$70,598 ","$67,179 ","$71,392 "
182,Middleborough,,,"$51,690 ","$69,902 ","$75,048 ","$76,889 ","$76,500 "
183,Middlefield,,,"$49,499 ","$69,416 ","$72,463 ","$71,991 ","$78,281 "
184,Middleton,,,"$69,693 ","$88,103 ","$115,790 ","$95,330 ","$108,622 "
185,Milford,,,"$62,834 ","$72,973 ","$72,346 ","$72,411 ","$69,741 "
186,Millbury,,,"$60,830 ","$71,555 ","$73,141 ","$73,293 ","$71,151 "
187,Millis,,,"$75,798 ","$95,737 ","$89,346 ","$92,879 ","$92,042 "
188,Millville,,,"$53,622 ","$76,746 ","$81,086 ","$83,944 ","$81,438 "
189,Milton,,,"$80,884 ","$101,547 ","$112,362 ","$105,863 ","$116,444 "
190,Monroe,,,"$54,579 ","$72,868 ","$36,276 ","$33,505 ","$33,750 "
191,Monson,,,"$65,808 ","$68,726 ","$74,016 ","$79,330 ","$67,807 "
192,Montague,,,"$49,479 ","$51,943 ","$48,012 ","$45,792 ","$52,283 "
193,Monterey,,,"$47,047 ","$56,687 ","$70,773 ","$45,232 ","$53,000 "
194,Montgomery,,,"$72,905 ","$89,483 ","$84,021 ","$79,802 ","$76,250 "
195,Mount Washington,,,"$43,525 ","$80,634 ","$75,574 ","$71,538 ","$66,500 "
196,Nahant,,,"$78,990 ","$90,236 ","$91,118 ","$88,922 ","$65,284 "
197,Nantucket,,,"$62,064 ","$77,084 ","$78,984 ","$90,570 ","$84,057 "
198,Natick,,,"$74,750 ","$94,091 ","$99,231 ","$95,156 ","$100,469 "
199,Needham,,,"$94,872 ","$115,360 ","$125,298 ","$124,276 ","$132,237 "
200,New Ashford,,,"$55,558 ","$61,435 ","$72,907 ","$75,613 ","$88,750 "
201,New Bedford,,,"$37,979 ","$43,285 ","$39,219 ","$39,307 ","$37,574 "
202,New Braintree,,,"$61,209 ","$82,595 ","$78,019 ","$92,819 ","$80,000 "
203,New Marlborough,,,"$50,096 ","$58,442 ","$66,683 ","$62,936 ","$74,688 "
204,New Salem,,,"$58,418 ","$68,090 ","$69,262 ","$66,798 ","$68,500 "
205,Newbury,,,"$68,671 ","$84,227 ","$106,459 ","$98,942 ","$91,168 "
206,Newburyport,,,"$55,904 ","$73,810 ","$83,301 ","$82,912 ","$85,556 "
207,Newton,,,"$87,040 ","$114,140 ","$122,415 ","$117,029 ","$122,080 "
208,Norfolk,,,"$85,855 ","$121,870 ","$122,559 ","$123,081 ","$141,278 "
209,North Adams,,,"$40,616 ","$42,240 ","$39,264 ","$38,469 ","$38,490 "
210,North Andover,,,"$72,562 ","$98,798 ","$103,461 ","$99,691 ","$100,286 "
211,North Attleborough,,,"$62,152 ","$80,242 ","$84,459 ","$84,400 ","$81,849 "
212,North Brookfield,,,"$54,108 ","$60,909 ","$63,000 ","$62,152 ","$68,232 "
213,North Reading,,,"$77,740 ","$100,738 ","$109,484 ","$104,337 ","$123,103 "
214,Northampton,,,"$48,533 ","$59,435 ","$59,475 ","$57,449 ","$59,274 "
215,Northborough,,,"$84,951 ","$110,784 ","$113,494 ","$111,892 ","$107,797 "
